County,State,Adult Obesity (2018),Adult Smoking (2018),Limited Access To Healthy Foods (2018),Poverty Rate (2018)
Greene County, AL,0.423000008,0.244249597,0.213424757,
Big Horn County, WY,0.301999986,0.16050382,0.053666439,
Chatham County, NC,0.256000012,0.152040109,0.02403916,0.090067723
Madison County, NY,0.280999988,0.181590229,0.013112847,0.090533341
Hale County, AL,0.414000005,0.220626339,0.046475071,
Albany County, WY,0.230000004,0.159657061,0.14198409,
Livingston County, NY,0.303000003,0.17059803,0.052429371,0.129722878
Henry County, AL,0.377999991,0.196666285,0.02142168,
Cherokee County, NC,0.279000014,0.181598827,0.034300391,
Lewis County, NY,0.326999992,0.169232517,0.063010447,
Houston County, AL,0.333000004,0.215092018,0.06282606,0.163686422
Wood County, WI,0.314999998,0.155059308,0.064908549,0.101645262
Chowan County, NC,0.326999992,0.19341892,0.113324553,
Kings County, NY,0.225999996,0.146159992,5.27E-05,0.189908544
Jackson County, AL,0.368999988,0.223137423,0.032725107,
Winnebago County, WI,0.337000012,0.163869932,0.049894597,0.107930598
Jefferson County, NY,0.307999998,0.191947609,0.063536786,0.11773406
Jefferson County, AL,0.331999987,0.184078753,0.122715905,0.159870879
Clay County, NC,0.282999992,0.175081775,0.012520195,
Herkimer County, NY,0.31099999,0.20109503,0.065700993,
Lamar County, AL,0.338,0.206862479,0.007506766,
Waushara County, WI,0.342000008,0.162811548,0.004643704,
Cleveland County, NC,0.326000005,0.21092014,0.072101995,0.204854653
Hamilton County, NY,0.282999992,0.142326429,0.120896935,
Lauderdale County, AL,0.34799999,0.187498391,0.05038074,0.131649407
Waupaca County, WI,0.321999997,0.164546579,0.030072918,
Greene County, NY,0.239999995,0.175018892,0.060254201,
Lawrence County, AL,0.335999995,0.211006477,0.021224882,
Columbus County, NC,0.331,0.211225718,0.013338932,
Genesee County, NY,0.268000007,0.2038223,0.012225361,
Lee County, AL,0.298000008,0.187357336,0.12249504,0.203122823
Waukesha County, WI,0.252999991,0.131475136,0.050644211,0.05075579
Craven County, NC,0.296000004,0.173123404,0.081434771,0.153525061
Fulton County, NY,0.250999987,0.210383683,0.034951873,
Limestone County, AL,0.335999995,0.18782647,0.035183538,0.112530211
Washington County, WI,0.307000011,0.142846912,0.030057093,0.035650545
Franklin County, NY,0.26699999,0.229049757,0.090543658,
Lowndes County, AL,0.462000012,0.223574042,0.130621448,
Cumberland County, NC,0.333999991,0.178272069,0.128304586,0.168998842
Essex County, NY,0.26699999,0.16714105,0.020934384,
Macon County, AL,0.477999985,0.217897311,0.216386646,
Washburn County, WI,0.298000008,0.15631482,0.068490677,
Currituck County, NC,0.275999993,0.173069313,0.028341195,
Erie County, NY,0.291999996,0.17752026,0.05574711,0.137767269
Madison County, AL,0.328000009,0.164211079,0.074673451,0.12124182
Walworth County, WI,0.248999998,0.14950116,0.085149944,0.098543112
Dutchess County, NY,0.244000003,0.154917017,0.056022082,0.090672783
Marengo County, AL,0.393999994,0.214332595,0.12628971,
Dare County, NC,0.245000005,0.164476201,0.074488498,
Delaware County, NY,0.294,0.19469282,0.00789258,
Marion County, AL,0.349000007,0.208183244,0.032545425,
Vilas County, WI,0.287,0.164197713,0.017375065,
Davidson County, NC,0.303000003,0.182015836,0.065938637,0.161478717
Cortland County, NY,0.282000005,0.184871614,0.03416783,
Marshall County, AL,0.337000012,0.215996549,0.051875055,0.196431408
Vernon County, WI,0.321999997,0.165192097,0.061230864,
Columbia County, NY,0.244000003,0.178132787,0.050543033,
Mobile County, AL,0.35800001,0.18913199,0.102659255,0.207517544
Davie County, NC,0.319000006,0.160562664,0.032278582,
Clinton County, NY,0.300999999,0.206870154,0.099285945,0.124844082
Monroe County, AL,0.39199999,0.219141454,0.128395259,
Trempealeau County, WI,0.307000011,0.150733903,0.00322499,
Duplin County, NC,0.356000006,0.222256422,0.009068167,
Chenango County, NY,0.312000006,0.188734517,0.016152909,
Montgomery County, AL,0.368000001,0.196064651,0.145721406,0.198419208
Taylor County, WI,0.317000002,0.159865409,0.080005594,
Chemung County, NY,0.333000004,0.206333399,0.057984371,0.124174819
Morgan County, AL,0.314999998,0.200715855,0.040842019,0.118766583
Durham County, NC,0.263999999,0.15934737,0.074604578,0.133527138
Chautauqua County, NY,0.326000005,0.236875415,0.067504726,0.188529134
Perry County, AL,0.441000015,0.232708931,0.048851173,
Sheboygan County, WI,0.289000005,0.14640817,0.020486452,0.065996301
Edgecombe County, NC,0.363000005,0.217914283,0.07771036,
Cayuga County, NY,0.308999985,0.203613997,0.016861755,0.126965686
Pickens County, AL,0.354000002,0.214232519,0.008921589,
Shawano County, WI,0.340999991,0.162392005,0.036604363,
Cattaraugus County, NY,0.280000001,0.23391524,0.025839364,0.176428026
Pike County, AL,0.416999996,0.222282097,0.063043445,
Forsyth County, NC,0.324000001,0.184179276,0.139335558,0.16939821
Broome County, NY,0.26699999,0.199102178,0.032406718,0.179103415
Randolph County, AL,0.338999987,0.197493732,0.068154834,
Sawyer County, WI,0.307000011,0.194527641,0.068587527,
Franklin County, NC,0.328000009,0.187286839,0.022208866,0.110205506
Bronx County, NY,0.300000012,0.161729366,9.20E-06,0.274311621
Russell County, AL,0.407000005,0.217786089,0.055467032,
Sauk County, WI,0.312000006,0.15315938,0.019380836,
Allegany County, NY,0.287999988,0.209130466,0.029916992,
St. Clair County, AL,0.363000005,0.196323484,0.015678585,0.117033056
Gaston County, NC,0.31400001,0.18073222,0.112705596,0.142203027
Albany County, NY,0.25999999,0.151485547,0.047797348,0.111823543
Shelby County, AL,0.291999996,0.168748528,0.043024797,0.082532792
St. Croix County, WI,0.264999986,0.153732195,0.021364657,0.042349527
Gates County, NC,0.326000005,0.170701265,0.000230666,
Valencia County, NM,0.256000012,0.161319748,0.240227938,0.157746705
Sumter County, AL,0.402999997,0.230080351,0.103728853,
Rusk County, WI,0.312999994,0.17209667,0.143829137,
Union County, NM,0.261999995,0.154628053,0.114235796,
Talladega County, AL,0.405999988,0.214248493,0.058546647,0.195397928
Graham County, NC,0.298000008,0.193639696,0.011171741,
Torrance County, NM,0.261000007,0.18177858,0.191809177,
Tallapoosa County, AL,0.367000014,0.209204838,0.043249544,
Rock County, WI,0.342000008,0.186877698,0.105566375,0.109175801
Granville County, NC,0.335000008,0.181168005,0.04007275,
Taos County, NM,0.186000004,0.148546532,0.206681237,
Tuscaloosa County, AL,0.333999991,0.200836763,0.064940423,0.165963886
Richland County, WI,0.308999985,0.158637658,0.077139758,
Socorro County, NM,0.261000007,0.204154953,0.218594685,
Walker County, AL,0.361999989,0.197902724,0.052100696,0.172365967
Greene County, NC,0.333999991,0.204400495,,
Sierra County, NM,0.219999999,0.152067199,0.210522115,
Washington County, AL,0.402999997,0.207355574,0.035835657,
Racine County, WI,0.317000002,0.163271546,0.083253749,0.130028142
Guilford County, NC,0.31400001,0.188994929,0.083328217,0.155699118
Santa Fe County, NM,0.135000005,0.126464516,0.110438511,0.114578756
Wilcox County, AL,0.425999999,0.242549345,0.304647446,
Price County, WI,0.338999987,0.161106825,0.043109216,
San Miguel County, NM,0.229000002,0.16638954,0.277347773,
Winston County, AL,0.347000003,0.227808312,0.026550129,
Halifax County, NC,0.398000002,0.224317983,0.093862422,
San Juan County, NM,0.316000015,0.18474558,0.175523028,0.244148789
Aleutians East Borough, AK,0.349000007,0.174270615,0.349375099,
Portage County, WI,0.344000012,0.159757048,0.052976023,0.11782375
Harnett County, NC,0.330000013,0.187703162,0.039242744,0.142414932
Sandoval County, NM,0.238000005,0.151531443,0.132060841,0.131775734
Aleutians West Census Area, AK,0.407000005,0.153468013,0.085740477,
Polk County, WI,0.321999997,0.150291413,0.00723336,
Roosevelt County, NM,0.26699999,0.175028905,0.137323096,
Anchorage Municipality, AK,0.277999997,0.149284557,0.05113839,0.092408663
Haywood County, NC,0.32100001,0.173682511,0.084653139,
Rio Arriba County, NM,0.259000003,0.164823204,0.226493493,
Bethel Census Area, AK,0.294,0.333823144,0.419875979,
Pierce County, WI,0.303000003,0.156655461,0.046507135,
Henderson County, NC,0.294999987,0.152035639,0.072045527,0.082335121
Quay County, NM,0.30399999,0.15686281,0.07386975,
Bristol Bay Borough, AK,0.391000003,0.20041734,0.17663233,
Pepin County, WI,0.342999995,0.156444252,,
Otero County, NM,0.261000007,0.175602704,0.15283978,0.214386999
Denali Borough, AK,0.263999999,0.176144212,0.229337156,
Hertford County, NC,0.405000001,0.210909188,0.052946959,
Mora County, NM,0.231999993,0.191056713,0.160303071,
Dillingham Census Area, AK,0.405000001,0.316179305,0.321975708,
Ozaukee County, WI,0.256000012,0.124203451,0.042136054,0.034451799
Hoke County, NC,0.328000009,0.227849036,0.085424356,
McKinley County, NM,0.351000011,0.218301743,0.413063675,0.334359074
Fairbanks North Star Borough, AK,0.289000005,0.18447493,0.072768196,0.081001535
Outagamie County, WI,0.300999999,0.14914304,0.02443777,0.073097289
Luna County, NM,0.25,0.187384382,0.166564509,
Haines Borough, AK,0.247999996,0.170535117,0.07440982,
Hoonah-Angoon Census Area, AK,0.32100001,0.215968534,0.387679636,
Hyde County, NC,0.317999989,0.202753797,0.353875369,
Los Alamos County, NM,0.203999996,0.099967569,0.046983898,
Juneau City and Borough, AK,0.287999988,0.180408373,0.059062835,
Oneida County, WI,0.328999996,0.154074192,0.030591201,
Iredell County, NC,0.312000006,0.167345971,0.050861862,0.092824066
Lincoln County, NM,0.208000004,0.16279462,0.176641226,
Kenai Peninsula Borough, AK,0.286000013,0.19170928,0.058353607,
Oconto County, WI,0.312999994,0.155176669,0.03667967,
Lea County, NM,0.328000009,0.148773476,0.044898566,0.15819285
Ketchikan Gateway Borough, AK,0.344999999,0.20077686,0.016138729,
Jackson County, NC,0.287999988,0.195088878,0.113403223,
Hidalgo County, NM,0.228,0.158122182,0.158198848,
Kodiak Island Borough, AK,0.296000004,0.164854974,0.046062555,
Kusilvak Census Area, AK,0.275000006,0.42754057,0.418397069,
Monroe County, WI,0.337000012,0.17059207,0.072566032,
Johnston County, NC,0.351999998,0.178056106,0.015345827,0.113870017
Harding County, NM,0.228,0.126339957,0.40788725,
Lake and Peninsula Borough, AK,0.317999989,0.320813239,0.435163438,
Milwaukee County, WI,0.333999991,0.181715861,0.025226075,0.189267445
Guadalupe County, NM,0.248999998,0.147331014,0.164182574,
Matanuska-Susitna Borough, AK,0.31099999,0.187007576,0.076239407,0.104628512
Jones County, NC,0.354000002,0.193356588,1.43E-05,
Grant County, NM,0.224999994,0.140256643,0.150631294,
Nome Census Area, AK,0.335000008,0.35815531,0.380933464,
Menominee County, WI,0.451000005,0.331680745,0.108329512,
Lee County, NC,0.291999996,0.189408511,0.045213733,
Eddy County, NM,0.312000006,0.152982056,0.130438626,
North Slope Borough, AK,0.368999988,0.258102834,0.131971836,
Marquette County, WI,0.360000014,0.156202093,0.003458613,
Doña Ana County, NM,0.25999999,0.149009585,0.194899917,0.258798028
Northwest Arctic Borough, AK,0.356999993,0.332832634,0.340551078,
Petersburg Borough, AK,0.312000006,0.173440874,0.006621123,
Prince of Wales-Hyder Census Area, AK,0.344000012,0.233592391,0.147649959,
Lenoir County, NC,0.358999997,0.207670003,0.060141731,
De Baca County, NM,0.225999996,0.153902963,0.067914374,
Sitka City and Borough, AK,0.284000009,0.177000269,0.041329063,
Skagway Municipality, AK,0.287,0.162125036,0.000505089,
Marinette County, WI,0.321999997,0.178382382,0.101927176,
Lincoln County, NC,0.293000013,0.176096871,0.046995018,0.100552046
Curry County, NM,0.319000006,0.205778167,0.153359994,
Southeast Fairbanks Census Area, AK,0.326000005,0.186902821,0.188242406,
Marathon County, WI,0.305000007,0.154205203,0.056753073,0.069558157
Colfax County, NM,0.236000001,0.155478567,0.288987964,
Valdez-Cordova Census Area, AK,0.308999985,0.186907887,0.153153986,
Wrangell City and Borough, AK,0.333999991,0.186530605,0.065665819,
McDowell County, NC,0.331999987,0.210977837,0.021760119,
Cibola County, NM,0.296999991,0.219518542,0.220575273,
Yakutat City and Borough, AK,0.312000006,0.222499222,0.253543317,
Manitowoc County, WI,0.312999994,0.151069567,0.053307418,0.114263695
Macon County, NC,0.287,0.168670297,0.031952843,
Chaves County, NM,0.294999987,0.176990077,0.131909117,0.169294288
Yukon-Koyukuk Census Area, AK,0.303000003,0.31358856,0.497458696,
Lincoln County, WI,0.289000005,0.170501769,0.037873797,
Catron County, NM,0.210999995,0.134536415,0.454741985,
Apache County, AZ,0.337000012,0.215527758,0.47391513,0.383397645
Madison County, NC,0.263000011,0.182668716,0.063953944,
Bernalillo County, NM,0.218999997,0.139721766,0.065770306,0.16758346
Cochise County, AZ,0.266000003,0.159397885,0.144701913,0.134386656
Langlade County, WI,0.307000011,0.157786563,0.108905055,
Martin County, NC,0.398000002,0.194423229,0.013703058,
Warren County, NJ,0.279000014,0.160649091,0.056615148,0.060501462
Coconino County, AZ,0.228,0.163593799,0.13831681,0.156876269
Lafayette County, WI,0.365999997,0.158718184,0.042971835,
Union County, NJ,0.246999994,0.132529631,0.010421374,0.073260418
Gila County, AZ,0.275000006,0.181426197,0.158266842,
Mecklenburg County, NC,0.250999987,0.154158577,0.054459412,0.117055801
Sussex County, NJ,0.275999993,0.142871544,0.055283438,0.048311367
Graham County, AZ,0.319000006,0.179142058,0.190057725,
La Crosse County, WI,0.308999985,0.154032096,0.056784254,0.107919076
Mitchell County, NC,0.280000001,0.170336843,,
Somerset County, NJ,0.223000005,0.110070497,0.026928233,0.046053837
Greenlee County, AZ,0.294999987,0.153038904,0.305464506,
Kewaunee County, WI,0.342000008,0.139707685,0.001566004,
Salem County, NJ,0.335999995,0.171467409,0.032743003,0.116094382
La Paz County, AZ,0.280999988,0.154975116,0.189547136,
Montgomery County, NC,0.294999987,0.192812622,0.005772188,
Passaic County, NJ,0.282000005,0.160284683,0.017341871,0.136434814
Maricopa County, AZ,0.263000011,0.137492567,0.043994725,0.122066165
Kenosha County, WI,0.312999994,0.178001016,0.067954555,0.126974793
Moore County, NC,0.266000003,0.162492216,0.041679695,0.096489701
Ocean County, NJ,0.287,0.138263658,0.090126328,0.097958559
Mohave County, AZ,0.30399999,0.20027791,0.200121298,0.161313532
Juneau County, WI,0.352999985,0.172650844,0.084249526,
Morris County, NJ,0.214000002,0.119865946,0.03528313,0.044979616
Navajo County, AZ,0.31400001,0.214991942,0.250054091,0.294116554
Nash County, NC,0.351000011,0.183750227,0.056756467,0.111501136
Monmouth County, NJ,0.225999996,0.141260415,0.045826536,0.066037322
Pima County, AZ,0.248999998,0.138935134,0.076811172,0.162438938
Jefferson County, WI,0.287999988,0.1523837,0.01894688,0.081590009
New Hanover County, NC,0.247999996,0.179616749,0.07667692,0.155613387
Middlesex County, NJ,0.268000007,0.123478241,0.037333727,0.083449254
Pinal County, AZ,0.326000005,0.150965482,0.072032496,0.124619334
Jackson County, WI,0.338999987,0.166038692,0.130449638,
Mercer County, NJ,0.252000004,0.129248366,0.036523841,0.112290791
Santa Cruz County, AZ,0.237000003,0.156046838,0.128079027,
Northampton County, NC,0.356000006,0.205301672,0.070652731,
Hunterdon County, NJ,0.214000002,0.131484419,0.021038296,0.04815274
Yavapai County, AZ,0.232999995,0.152527943,0.126065671,0.132258761
Iron County, WI,0.291999996,0.144419596,0.058829606,
Onslow County, NC,0.279000014,0.190587699,0.101863116,0.15555192
Hudson County, NJ,0.231000006,0.156450346,0.001205798,0.144159786
Yuma County, AZ,0.310000002,0.148958713,0.095970109,0.195794987
Iowa County, WI,0.31400001,0.146168783,0.05720431,
Gloucester County, NJ,0.308999985,0.16217801,0.087485023,0.077552227
Arkansas County, AR,0.319000006,0.194659218,0.178218231,
Orange County, NC,0.226999998,0.141970381,0.089197569,0.128321085
Essex County, NJ,0.284999996,0.152342066,0.007060986,0.151643999
Ashley County, AR,0.421000004,0.201146111,0.120048471,
Green Lake County, WI,0.368000001,0.168686107,0.06703236,
Pamlico County, NC,0.319999993,0.171452999,0.023573255,
Cumberland County, NJ,0.347000003,0.17150338,0.098591194,0.146336391
Baxter County, AR,0.340999991,0.179587901,0.044191342,
Green County, WI,0.331,0.142104566,0.048130024,
Cape May County, NJ,0.287999988,0.148629129,0.087852761,0.09353406
Benton County, AR,0.307999998,0.175768405,0.053032875,0.085644335
Pasquotank County, NC,0.365999997,0.189710751,0.124679856,
Camden County, NJ,0.294,0.166995555,0.046253998,0.133326934
Boone County, AR,0.377999991,0.196030095,0.103564061,
Grant County, WI,0.347000003,0.157374278,0.039592121,
Pender County, NC,0.307000011,0.172713026,0.031632785,
Burlington County, NJ,0.282000005,0.13737449,0.056468673,0.058302431
Bradley County, AR,0.416999996,0.225558951,0.051734805,
Forest County, WI,0.342000008,0.175765246,0.138597891,
Bergen County, NJ,0.221000001,0.126517013,0.009453631,0.069335211
Calhoun County, AR,0.36500001,0.214973167,0.325506002,
Perquimans County, NC,0.321999997,0.186573863,0.010984892,
Atlantic County, NJ,0.275999993,0.185766384,0.08453773,0.129098069
Carroll County, AR,0.340000004,0.186825469,0.038132992,
Fond du Lac County, WI,0.333999991,0.151603132,0.068147965,0.109392864
Person County, NC,0.326000005,0.191144601,0.0433315,
Sullivan County, NH,0.307999998,0.155096814,0.042130135,
Chicot County, AR,0.433999985,0.229751989,0.333910495,
Florence County, WI,0.333999991,0.148574248,0.053121231,
Strafford County, NH,0.286000013,0.163309291,0.05294985,0.102744816
Clark County, AR,0.342000008,0.205630675,0.214556679,
Pitt County, NC,0.300000012,0.203530475,0.031562362,0.246861731
Rockingham County, NH,0.270999998,0.137184709,0.055321109,0.05419894
Clay County, AR,0.351999998,0.212188169,0.043063071,
Eau Claire County, WI,0.27700001,0.153489769,0.064996094,0.133608693
Polk County, NC,0.284000009,0.152193695,0.001060592,
Merrimack County, NH,0.287,0.143660888,0.05084898,0.065733191
Cleburne County, AR,0.337000012,0.179926544,0.032608803,
Dunn County, WI,0.338999987,0.152463853,0.045780979,
Hillsborough County, NH,0.280999988,0.152227357,0.055092841,0.075043325
Cleveland County, AR,0.351999998,0.187917948,0.055162996,
Randolph County, NC,0.317999989,0.199860737,0.084168009,0.140419642
Grafton County, NH,0.241999999,0.143940121,0.048287682,0.078714965
Columbia County, AR,0.342000008,0.214126721,0.07237985,
Douglas County, WI,0.317000002,0.170550182,0.084856778,
Richmond County, NC,0.363000005,0.226685882,0.06016219,
Coos County, NH,0.298000008,0.168103263,0.047085155,
Conway County, AR,0.379000008,0.210105613,0.063005626,
Door County, WI,0.280000001,0.137156114,0.025781192,
Cheshire County, NH,0.284999996,0.169616938,0.032788858,0.109524074
Craighead County, AR,0.356000006,0.209694043,0.08565899,0.192787781
Robeson County, NC,0.386000007,0.272144288,0.059414018,0.237332664
Carroll County, NH,0.259000003,0.136853829,0.005061436,
Crawford County, AR,0.338999987,0.203280255,0.078368925,
Dodge County, WI,0.338,0.163928643,0.038370796,0.089102763
Rockingham County, NC,0.349999994,0.196596652,0.116027839,0.197051299
Belknap County, NH,0.308999985,0.155425936,0.043017205,
Crittenden County, AR,0.404000014,0.240020469,0.049532026,
Dane County, WI,0.243000001,0.130404711,0.051349334,0.110485112
Carson City, NV,0.25999999,0.176738158,0.051673435,
Cross County, AR,0.393999994,0.214741483,0.064161129,
Rowan County, NC,0.338,0.194315672,0.105007336,0.177976784
White Pine County, NV,0.303000003,0.202327713,0.138450056,
Dallas County, AR,0.386000007,0.190786123,0.183077663,
Crawford County, WI,0.361000001,0.158451065,0.046491962,
Rutherford County, NC,0.308999985,0.192833275,0.101470225,0.202849701
Washoe County, NV,0.215000004,0.152523935,0.077554941,0.102351416
Desha County, AR,0.389999986,0.253866643,0.20006679,
Columbia County, WI,0.349999994,0.147829235,0.014778372,
Storey County, NV,0.261999995,0.145962358,0.011955226,
Drew County, AR,0.368000001,0.213900998,0.107882217,
Sampson County, NC,0.349999994,0.207070634,0.02322316,
Pershing County, NV,0.310000002,0.183664978,0.056654152,
Faulkner County, AR,0.331,0.18311426,0.055647172,0.181118758
Clark County, WI,0.321999997,0.170938879,0.014936837,
Scotland County, NC,0.351999998,0.230685025,0.077486984,
Nye County, NV,0.328000009,0.190930396,0.210701227,
Franklin County, AR,0.326000005,0.206001878,0.036394648,
Chippewa County, WI,0.284000009,0.154819876,0.050538473,
Mineral County, NV,0.291999996,0.204820663,0.342664659,
Fulton County, AR,0.308999985,0.187657535,0.121361196,
Stanly County, NC,0.291999996,0.189221874,0.022297565,
Lyon County, NV,0.340000004,0.206956431,0.086984143,
Garland County, AR,0.305000007,0.187929034,0.107148334,0.230467108
Calumet County, WI,0.31099999,0.140430272,0.043112654,
Stokes County, NC,0.293000013,0.167480633,0.061266344,
Lincoln County, NV,0.270000011,0.164611861,0.323732078,
Grant County, AR,0.39199999,0.194291145,0.044258732,
Burnett County, WI,0.303000003,0.164443418,0.029052684,
Lander County, NV,0.31400001,0.162263244,0.059029121,
Greene County, AR,0.333000004,0.205660358,0.094648711,
Surry County, NC,0.303000003,0.190979734,0.034149576,0.160100045
Humboldt County, NV,0.261999995,0.183847636,0.089860305,
Hempstead County, AR,0.381999999,0.222699866,0.144939765,
Buffalo County, WI,0.326999992,0.155012012,0.06604819,
Swain County, NC,0.291999996,0.230763093,0.006503453,
Eureka County, NV,0.268000007,0.157570004,0.274874598,
Hot Spring County, AR,0.352999985,0.190716714,0.067104511,
Brown County, WI,0.300000012,0.164516062,0.058533497,0.083082433
Esmeralda County, NV,0.263000011,0.209205925,0.515904188,
